device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,delayed_flag
8,18,1970-01-01 02:00:15,2025-11-05 16:26:14,0,0,0
6,18,1970-01-01 02:00:15,2025-11-05 16:26:14,0,0,0
7,19,1970-01-01 02:00:16,2025-11-05 16:26:15,0,0,0
9,19,1970-01-01 02:00:16,2025-11-05 16:26:15,0,0,0
8,19,1970-01-01 02:00:16,2025-11-05 16:26:15,0,0,0
6,19,1970-01-01 02:00:16,2025-11-05 16:26:15,0,0,0
7,20,1970-01-01 02:00:17,2025-11-05 16:26:16,0,0,0
9,20,1970-01-01 02:00:17,2025-11-05 16:26:16,0,0,0
8,20,1970-01-01 02:00:17,2025-11-05 16:26:16,0,0,0
6,20,1970-01-01 02:00:17,2025-11-05 16:26:16,0,0,0
7,21,1970-01-01 02:00:18,2025-11-05 16:26:17,0,0,0
8,21,1970-01-01 02:00:18,2025-11-05 16:26:17,0,0,0
9,21,1970-01-01 02:00:18,2025-11-05 16:26:17,0,0,0
6,21,1970-01-01 02:00:18,2025-11-05 16:26:17,0,0,0
7,22,1970-01-01 02:00:19,2025-11-05 16:26:18,0,0,0
9,22,1970-01-01 02:00:19,2025-11-05 16:26:18,0,0,0
8,22,1970-01-01 02:00:19,2025-11-05 16:26:18,0,0,0
6,22,1970-01-01 02:00:19,2025-11-05 16:26:18,0,0,0
7,23,1970-01-01 02:00:20,2025-11-05 16:26:19,0,0,0
6,23,1970-01-01 02:00:20,2025-11-05 16:26:19,0,0,0
9,23,1970-01-01 02:00:20,2025-11-05 16:26:19,0,0,0
8,23,1970-01-01 02:00:20,2025-11-05 16:26:19,0,0,0
7,24,1970-01-01 02:00:21,2025-11-05 16:26:20,0,0,0
9,24,1970-01-01 02:00:21,2025-11-05 16:26:20,0,0,0
8,24,1970-01-01 02:00:21,2025-11-05 16:26:20,0,0,0
6,24,1970-01-01 02:00:21,2025-11-05 16:26:20,0,0,0
7,25,1970-01-01 02:00:22,2025-11-05 16:26:21,0,0,0
6,25,1970-01-01 02:00:22,2025-11-05 16:26:21,0,0,0
8,25,1970-01-01 02:00:22,2025-11-05 16:26:21,0,0,0
9,25,1970-01-01 02:00:22,2025-11-05 16:26:21,0,0,0
7,26,1970-01-01 02:00:23,2025-11-05 16:26:22,0,0,0
