DeviceID,Sequence Number,Value,Packet Timestamp,Arrival Time,Latency (ms)
2,25,Heartbeat,2025-11-04 17:33:51,2025-11-04 17:33:51,65
2,26,439,2025-11-04 17:33:52,2025-11-04 17:33:52,65
2,27,433,2025-11-04 17:33:53,2025-11-04 17:33:53,64
2,28,429,2025-11-04 17:33:54,2025-11-04 17:33:54,65
2,29,430,2025-11-04 17:33:55,2025-11-04 17:33:55,65
2,30,494,2025-11-04 17:33:56,2025-11-04 17:33:56,65
2,31,504,2025-11-04 17:33:57,2025-11-04 17:33:57,64
2,32,507,2025-11-04 17:33:58,2025-11-04 17:33:58,65
2,33,503,2025-11-04 17:33:59,2025-11-04 17:33:59,65
2,34,505,2025-11-04 17:34:00,2025-11-04 17:34:00,64
2,35,Heartbeat,2025-11-04 17:34:01,2025-11-04 17:34:01,64
2,36,509,2025-11-04 17:34:02,2025-11-04 17:34:02,65
2,37,516,2025-11-04 17:34:03,2025-11-04 17:34:03,64
2,38,514,2025-11-04 17:34:04,2025-11-04 17:34:04,64
2,39,516,2025-11-04 17:34:05,2025-11-04 17:34:05,64
2,40,441,2025-11-04 17:34:06,2025-11-04 17:34:06,65
2,41,451,2025-11-04 17:34:07,2025-11-04 17:34:07,64
2,42,461,2025-11-04 17:34:08,2025-11-04 17:34:08,65
2,43,454,2025-11-04 17:34:09,2025-11-04 17:34:09,64
2,44,449,2025-11-04 17:34:10,2025-11-04 17:34:10,65
2,45,Heartbeat,2025-11-04 17:34:11,2025-11-04 17:34:11,65
2,46,439,2025-11-04 17:34:12,2025-11-04 17:34:12,65
2,47,448,2025-11-04 17:34:14,2025-11-04 17:34:14,544
2,48,450,2025-11-04 17:34:14,2025-11-04 17:34:14,544
2,50,598,2025-11-04 17:34:16,2025-11-04 17:34:16,65
2,51,606,2025-11-04 17:34:17,2025-11-04 17:34:17,65
2,52,601,2025-11-04 17:34:18,2025-11-04 17:34:18,65
2,53,597,2025-11-04 17:34:19,2025-11-04 17:34:19,65
2,54,592,2025-11-04 17:34:20,2025-11-04 17:34:20,65
2,55,Heartbeat,2025-11-04 17:34:21,2025-11-04 17:34:21,65
2,56,582,2025-11-04 17:34:22,2025-11-04 17:34:22,65
2,57,579,2025-11-04 17:34:23,2025-11-04 17:34:23,65
2,58,583,2025-11-04 17:34:24,2025-11-04 17:34:24,64
2,59,593,2025-11-04 17:34:25,2025-11-04 17:34:25,65
2,60,499,2025-11-04 17:34:26,2025-11-04 17:34:26,65
2,61,493,2025-11-04 17:34:27,2025-11-04 17:34:27,65
2,62,502,2025-11-04 17:34:28,2025-11-04 17:34:28,64
2,63,509,2025-11-04 17:34:29,2025-11-04 17:34:29,64
