device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag
1,1,1970-01-01 02:00:00,2025-11-05 15:38:24,0,0
1,2,2025-11-05 15:38:24,2025-11-05 15:38:24,0,0
1,3,2025-11-05 15:38:24,2025-11-05 15:38:24,0,0
2,1,1970-01-01 02:00:00,2025-11-05 15:38:24,0,0
2,2,2025-11-05 15:38:24,2025-11-05 15:38:24,0,0
2,3,2025-11-05 15:38:24,2025-11-05 15:38:24,0,0
3,1,1970-01-01 02:00:00,2025-11-05 15:38:24,0,0
3,2,2025-11-05 15:38:24,2025-11-05 15:38:24,0,0
3,3,2025-11-05 15:38:24,2025-11-05 15:38:24,0,0
4,1,1970-01-01 02:00:00,2025-11-05 15:38:24,0,0
4,2,2025-11-05 15:38:24,2025-11-05 15:38:24,0,0
4,3,2025-11-05 15:38:24,2025-11-05 15:38:24,0,0
1,4,2025-11-05 15:38:25,2025-11-05 15:38:25,0,0
2,4,2025-11-05 15:38:25,2025-11-05 15:38:25,0,0
3,4,2025-11-05 15:38:25,2025-11-05 15:38:25,0,0
4,4,2025-11-05 15:38:25,2025-11-05 15:38:25,0,0
1,5,2025-11-05 15:38:26,2025-11-05 15:38:26,0,0
2,5,2025-11-05 15:38:26,2025-11-05 15:38:26,0,0
3,5,2025-11-05 15:38:26,2025-11-05 15:38:26,0,0
4,5,2025-11-05 15:38:26,2025-11-05 15:38:26,0,0
1,6,2025-11-05 15:38:27,2025-11-05 15:38:27,0,0
2,6,2025-11-05 15:38:27,2025-11-05 15:38:27,0,0
3,6,2025-11-05 15:38:27,2025-11-05 15:38:27,0,0
4,6,2025-11-05 15:38:27,2025-11-05 15:38:27,0,0
1,7,2025-11-05 15:38:28,2025-11-05 15:38:28,0,0
2,7,2025-11-05 15:38:28,2025-11-05 15:38:28,0,0
3,7,2025-11-05 15:38:28,2025-11-05 15:38:28,0,0
4,7,2025-11-05 15:38:28,2025-11-05 15:38:28,0,0
1,8,2025-11-05 15:38:29,2025-11-05 15:38:29,0,0
2,8,2025-11-05 15:38:29,2025-11-05 15:38:29,0,0
3,8,2025-11-05 15:38:29,2025-11-05 15:38:29,0,0
4,8,2025-11-05 15:38:29,2025-11-05 15:38:29,0,0
1,9,2025-11-05 15:38:30,2025-11-05 15:38:30,0,0
2,9,2025-11-05 15:38:30,2025-11-05 15:38:30,0,0
3,9,2025-11-05 15:38:30,2025-11-05 15:38:30,0,0
4,9,2025-11-05 15:38:30,2025-11-05 15:38:30,0,0
1,10,2025-11-05 15:38:31,2025-11-05 15:38:31,0,0
2,10,2025-11-05 15:38:31,2025-11-05 15:38:31,0,0
3,10,2025-11-05 15:38:31,2025-11-05 15:38:31,0,0
4,10,2025-11-05 15:38:31,2025-11-05 15:38:31,0,0
1,11,2025-11-05 15:38:32,2025-11-05 15:38:32,0,0
2,11,2025-11-05 15:38:32,2025-11-05 15:38:32,0,0
3,11,2025-11-05 15:38:32,2025-11-05 15:38:32,0,0
4,11,2025-11-05 15:38:32,2025-11-05 15:38:32,0,0
1,12,2025-11-05 15:38:33,2025-11-05 15:38:33,0,0
2,12,2025-11-05 15:38:33,2025-11-05 15:38:33,0,0
3,12,2025-11-05 15:38:33,2025-11-05 15:38:33,0,0
4,12,2025-11-05 15:38:33,2025-11-05 15:38:33,0,0
1,13,2025-11-05 15:38:34,2025-11-05 15:38:34,0,0
2,13,2025-11-05 15:38:34,2025-11-05 15:38:34,0,0
3,13,2025-11-05 15:38:34,2025-11-05 15:38:34,0,0
4,13,2025-11-05 15:38:34,2025-11-05 15:38:34,0,0
1,14,2025-11-05 15:38:35,2025-11-05 15:38:35,0,0
2,14,2025-11-05 15:38:35,2025-11-05 15:38:35,0,0
3,14,2025-11-05 15:38:35,2025-11-05 15:38:35,0,0
4,14,2025-11-05 15:38:35,2025-11-05 15:38:35,0,0
1,15,2025-11-05 15:38:36,2025-11-05 15:38:36,0,0
2,15,2025-11-05 15:38:36,2025-11-05 15:38:36,0,0
3,15,2025-11-05 15:38:36,2025-11-05 15:38:36,0,0
4,15,2025-11-05 15:38:36,2025-11-05 15:38:36,0,0
1,16,2025-11-05 15:38:37,2025-11-05 15:38:37,0,0
2,16,2025-11-05 15:38:37,2025-11-05 15:38:37,0,0
3,16,2025-11-05 15:38:37,2025-11-05 15:38:37,0,0
4,16,2025-11-05 15:38:37,2025-11-05 15:38:37,0,0
1,17,2025-11-05 15:38:38,2025-11-05 15:38:38,0,0
2,17,2025-11-05 15:38:38,2025-11-05 15:38:38,0,0
3,17,2025-11-05 15:38:38,2025-11-05 15:38:38,0,0
4,17,2025-11-05 15:38:38,2025-11-05 15:38:38,0,0
2,18,2025-11-05 15:38:39,2025-11-05 15:38:39,0,0
3,18,2025-11-05 15:38:39,2025-11-05 15:38:39,0,0
4,18,2025-11-05 15:38:39,2025-11-05 15:38:39,0,0
1,19,2025-11-05 15:38:40,2025-11-05 15:38:40,0,1
2,19,2025-11-05 15:38:40,2025-11-05 15:38:40,0,0
3,19,2025-11-05 15:38:40,2025-11-05 15:38:40,0,0
4,19,2025-11-05 15:38:40,2025-11-05 15:38:40,0,0
1,20,2025-11-05 15:38:41,2025-11-05 15:38:41,0,0
2,20,2025-11-05 15:38:41,2025-11-05 15:38:41,0,0
3,20,2025-11-05 15:38:41,2025-11-05 15:38:41,0,0
4,20,2025-11-05 15:38:41,2025-11-05 15:38:41,0,0
1,21,2025-11-05 15:38:42,2025-11-05 15:38:42,0,0
2,21,2025-11-05 15:38:42,2025-11-05 15:38:42,0,0
3,21,2025-11-05 15:38:42,2025-11-05 15:38:42,0,0
4,21,2025-11-05 15:38:42,2025-11-05 15:38:42,0,0
1,22,2025-11-05 15:38:43,2025-11-05 15:38:43,0,0
2,22,2025-11-05 15:38:43,2025-11-05 15:38:43,0,0
3,22,2025-11-05 15:38:43,2025-11-05 15:38:43,0,0
4,22,2025-11-05 15:38:43,2025-11-05 15:38:43,0,0
1,23,2025-11-05 15:38:44,2025-11-05 15:38:44,0,0
2,23,2025-11-05 15:38:44,2025-11-05 15:38:44,0,0
3,23,2025-11-05 15:38:44,2025-11-05 15:38:44,0,0
4,23,2025-11-05 15:38:44,2025-11-05 15:38:44,0,0
1,24,2025-11-05 15:38:45,2025-11-05 15:38:45,0,0
2,24,2025-11-05 15:38:45,2025-11-05 15:38:45,0,0
3,24,2025-11-05 15:38:45,2025-11-05 15:38:45,0,0
4,24,2025-11-05 15:38:45,2025-11-05 15:38:45,0,0
1,25,2025-11-05 15:38:46,2025-11-05 15:38:46,0,0
2,25,2025-11-05 15:38:46,2025-11-05 15:38:46,0,0
3,25,2025-11-05 15:38:46,2025-11-05 15:38:46,0,0
4,25,2025-11-05 15:38:46,2025-11-05 15:38:46,0,0
1,26,2025-11-05 15:38:47,2025-11-05 15:38:47,0,0
2,26,2025-11-05 15:38:47,2025-11-05 15:38:47,0,0
3,26,2025-11-05 15:38:47,2025-11-05 15:38:47,0,0
