device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag
1,1,1970-01-01 02:00:00,2025-11-05 00:02:10,0,0
1,2,2025-11-05 00:02:10,2025-11-05 00:02:10,0,0
1,3,2025-11-05 00:02:10,2025-11-05 00:02:10,0,0
2,1,1970-01-01 02:00:00,2025-11-05 00:02:10,0,0
2,2,2025-11-05 00:02:10,2025-11-05 00:02:10,0,0
2,3,2025-11-05 00:02:10,2025-11-05 00:02:10,0,0
3,1,1970-01-01 02:00:00,2025-11-05 00:02:10,0,0
3,2,2025-11-05 00:02:10,2025-11-05 00:02:10,0,0
3,3,2025-11-05 00:02:10,2025-11-05 00:02:10,0,0
4,1,1970-01-01 02:00:00,2025-11-05 00:02:10,0,0
4,2,2025-11-05 00:02:10,2025-11-05 00:02:10,0,0
4,3,2025-11-05 00:02:10,2025-11-05 00:02:10,0,0
5,1,1970-01-01 02:00:00,2025-11-05 00:02:10,0,0
5,2,2025-11-05 00:02:10,2025-11-05 00:02:10,0,0
5,3,2025-11-05 00:02:10,2025-11-05 00:02:10,0,0
1,4,2025-11-05 00:02:11,2025-11-05 00:02:11,0,0
2,4,2025-11-05 00:02:11,2025-11-05 00:02:11,0,0
3,4,2025-11-05 00:02:11,2025-11-05 00:02:11,0,0
4,4,2025-11-05 00:02:11,2025-11-05 00:02:11,0,0
5,4,2025-11-05 00:02:11,2025-11-05 00:02:11,0,0
1,5,2025-11-05 00:02:12,2025-11-05 00:02:12,0,0
2,5,2025-11-05 00:02:12,2025-11-05 00:02:12,0,0
3,5,2025-11-05 00:02:12,2025-11-05 00:02:12,0,0
4,5,2025-11-05 00:02:12,2025-11-05 00:02:12,0,0
5,5,2025-11-05 00:02:12,2025-11-05 00:02:12,0,0
1,6,2025-11-05 00:02:13,2025-11-05 00:02:13,0,0
2,6,2025-11-05 00:02:13,2025-11-05 00:02:13,0,0
3,6,2025-11-05 00:02:13,2025-11-05 00:02:13,0,0
4,6,2025-11-05 00:02:13,2025-11-05 00:02:13,0,0
5,6,2025-11-05 00:02:13,2025-11-05 00:02:13,0,0
1,7,2025-11-05 00:02:14,2025-11-05 00:02:14,0,0
2,7,2025-11-05 00:02:14,2025-11-05 00:02:14,0,0
3,7,2025-11-05 00:02:14,2025-11-05 00:02:14,0,0
4,7,2025-11-05 00:02:14,2025-11-05 00:02:14,0,0
5,7,2025-11-05 00:02:14,2025-11-05 00:02:14,0,0
1,8,2025-11-05 00:02:15,2025-11-05 00:02:15,0,0
2,8,2025-11-05 00:02:15,2025-11-05 00:02:15,0,0
3,8,2025-11-05 00:02:15,2025-11-05 00:02:15,0,0
4,8,2025-11-05 00:02:15,2025-11-05 00:02:15,0,0
5,8,2025-11-05 00:02:15,2025-11-05 00:02:15,0,0
1,9,2025-11-05 00:02:16,2025-11-05 00:02:16,0,0
2,9,2025-11-05 00:02:16,2025-11-05 00:02:16,0,0
3,9,2025-11-05 00:02:16,2025-11-05 00:02:16,0,0
4,9,2025-11-05 00:02:16,2025-11-05 00:02:16,0,0
5,9,2025-11-05 00:02:16,2025-11-05 00:02:16,0,0
1,10,2025-11-05 00:02:17,2025-11-05 00:02:17,0,0
2,10,2025-11-05 00:02:17,2025-11-05 00:02:17,0,0
3,10,2025-11-05 00:02:17,2025-11-05 00:02:17,0,0
4,10,2025-11-05 00:02:17,2025-11-05 00:02:17,0,0
5,10,2025-11-05 00:02:17,2025-11-05 00:02:17,0,0
1,11,2025-11-05 00:02:18,2025-11-05 00:02:18,0,0
2,11,2025-11-05 00:02:18,2025-11-05 00:02:18,0,0
3,11,2025-11-05 00:02:18,2025-11-05 00:02:18,0,0
4,11,2025-11-05 00:02:18,2025-11-05 00:02:18,0,0
5,11,2025-11-05 00:02:18,2025-11-05 00:02:18,0,0
1,12,2025-11-05 00:02:19,2025-11-05 00:02:19,0,0
2,12,2025-11-05 00:02:19,2025-11-05 00:02:19,0,0
3,12,2025-11-05 00:02:19,2025-11-05 00:02:19,0,0
4,12,2025-11-05 00:02:19,2025-11-05 00:02:19,0,0
5,12,2025-11-05 00:02:19,2025-11-05 00:02:19,0,0
1,13,2025-11-05 00:02:20,2025-11-05 00:02:20,0,0
2,13,2025-11-05 00:02:20,2025-11-05 00:02:20,0,0
3,13,2025-11-05 00:02:20,2025-11-05 00:02:20,0,0
4,13,2025-11-05 00:02:20,2025-11-05 00:02:20,0,0
5,13,2025-11-05 00:02:20,2025-11-05 00:02:20,0,0
1,14,2025-11-05 00:02:21,2025-11-05 00:02:21,0,0
2,14,2025-11-05 00:02:21,2025-11-05 00:02:21,0,0
3,14,2025-11-05 00:02:21,2025-11-05 00:02:21,0,0
4,14,2025-11-05 00:02:21,2025-11-05 00:02:21,0,0
5,14,2025-11-05 00:02:21,2025-11-05 00:02:21,0,0
1,15,2025-11-05 00:02:22,2025-11-05 00:02:22,0,0
2,15,2025-11-05 00:02:22,2025-11-05 00:02:22,0,0
3,15,2025-11-05 00:02:22,2025-11-05 00:02:22,0,0
4,15,2025-11-05 00:02:22,2025-11-05 00:02:22,0,0
5,15,2025-11-05 00:02:22,2025-11-05 00:02:22,0,0
1,16,2025-11-05 00:02:23,2025-11-05 00:02:23,0,0
2,16,2025-11-05 00:02:23,2025-11-05 00:02:23,0,0
3,16,2025-11-05 00:02:23,2025-11-05 00:02:23,0,0
4,16,2025-11-05 00:02:23,2025-11-05 00:02:23,0,0
5,16,2025-11-05 00:02:23,2025-11-05 00:02:23,0,0
1,17,2025-11-05 00:02:24,2025-11-05 00:02:24,0,0
2,17,2025-11-05 00:02:24,2025-11-05 00:02:24,0,0
3,17,2025-11-05 00:02:24,2025-11-05 00:02:24,0,0
4,17,2025-11-05 00:02:24,2025-11-05 00:02:24,0,0
5,17,2025-11-05 00:02:24,2025-11-05 00:02:24,0,0
1,18,2025-11-05 00:02:25,2025-11-05 00:02:25,0,0
2,18,2025-11-05 00:02:25,2025-11-05 00:02:25,0,0
3,18,2025-11-05 00:02:25,2025-11-05 00:02:25,0,0
4,18,2025-11-05 00:02:25,2025-11-05 00:02:25,0,0
5,18,2025-11-05 00:02:25,2025-11-05 00:02:25,0,0
1,19,2025-11-05 00:02:26,2025-11-05 00:02:26,0,0
2,19,2025-11-05 00:02:26,2025-11-05 00:02:26,0,0
3,19,2025-11-05 00:02:26,2025-11-05 00:02:26,0,0
4,19,2025-11-05 00:02:26,2025-11-05 00:02:26,0,0
5,19,2025-11-05 00:02:26,2025-11-05 00:02:26,0,0
1,20,2025-11-05 00:02:27,2025-11-05 00:02:27,0,0
2,20,2025-11-05 00:02:27,2025-11-05 00:02:27,0,0
3,20,2025-11-05 00:02:27,2025-11-05 00:02:27,0,0
4,20,2025-11-05 00:02:27,2025-11-05 00:02:27,0,0
5,20,2025-11-05 00:02:27,2025-11-05 00:02:27,0,0
1,21,2025-11-05 00:02:28,2025-11-05 00:02:28,0,0
2,21,2025-11-05 00:02:28,2025-11-05 00:02:28,0,0
3,21,2025-11-05 00:02:28,2025-11-05 00:02:28,0,0
4,21,2025-11-05 00:02:28,2025-11-05 00:02:28,0,0
5,21,2025-11-05 00:02:28,2025-11-05 00:02:28,0,0
1,22,2025-11-05 00:02:29,2025-11-05 00:02:29,0,0
2,22,2025-11-05 00:02:29,2025-11-05 00:02:29,0,0
3,22,2025-11-05 00:02:29,2025-11-05 00:02:29,0,0
4,22,2025-11-05 00:02:29,2025-11-05 00:02:29,0,0
5,22,2025-11-05 00:02:29,2025-11-05 00:02:29,0,0
1,23,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
1,24,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
2,23,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
2,24,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
3,23,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
3,24,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
4,23,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
4,24,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
5,23,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
5,24,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
1,25,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
2,25,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
3,25,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
4,25,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
5,25,2025-11-05 00:02:32,2025-11-05 00:02:32,0,0
1,26,2025-11-05 00:02:33,2025-11-05 00:02:33,0,0
2,26,2025-11-05 00:02:33,2025-11-05 00:02:33,0,0
3,26,2025-11-05 00:02:33,2025-11-05 00:02:33,0,0
4,26,2025-11-05 00:02:33,2025-11-05 00:02:33,0,0
5,26,2025-11-05 00:02:33,2025-11-05 00:02:33,0,0
1,27,2025-11-05 00:02:34,2025-11-05 00:02:34,0,0
2,27,2025-11-05 00:02:34,2025-11-05 00:02:34,0,0
3,27,2025-11-05 00:02:34,2025-11-05 00:02:34,0,0
4,27,2025-11-05 00:02:34,2025-11-05 00:02:34,0,0
5,27,2025-11-05 00:02:34,2025-11-05 00:02:34,0,0
1,28,2025-11-05 00:02:35,2025-11-05 00:02:35,0,0
2,28,2025-11-05 00:02:35,2025-11-05 00:02:35,0,0
3,28,2025-11-05 00:02:35,2025-11-05 00:02:35,0,0
4,28,2025-11-05 00:02:35,2025-11-05 00:02:35,0,0
5,28,2025-11-05 00:02:35,2025-11-05 00:02:35,0,0
1,29,2025-11-05 00:02:36,2025-11-05 00:02:36,0,0
2,29,2025-11-05 00:02:36,2025-11-05 00:02:36,0,0
3,29,2025-11-05 00:02:36,2025-11-05 00:02:36,0,0
4,29,2025-11-05 00:02:36,2025-11-05 00:02:36,0,0
5,29,2025-11-05 00:02:36,2025-11-05 00:02:36,0,0
1,30,2025-11-05 00:02:37,2025-11-05 00:02:37,0,0
2,30,2025-11-05 00:02:37,2025-11-05 00:02:37,0,0
3,30,2025-11-05 00:02:37,2025-11-05 00:02:37,0,0
4,30,2025-11-05 00:02:37,2025-11-05 00:02:37,0,0
5,30,2025-11-05 00:02:37,2025-11-05 00:02:37,0,0
1,31,2025-11-05 00:02:38,2025-11-05 00:02:38,0,0
2,31,2025-11-05 00:02:38,2025-11-05 00:02:38,0,0
3,31,2025-11-05 00:02:38,2025-11-05 00:02:38,0,0
4,31,2025-11-05 00:02:38,2025-11-05 00:02:38,0,0
5,31,2025-11-05 00:02:38,2025-11-05 00:02:38,0,0
1,32,2025-11-05 00:02:39,2025-11-05 00:02:39,0,0
2,32,2025-11-05 00:02:39,2025-11-05 00:02:39,0,0
3,32,2025-11-05 00:02:39,2025-11-05 00:02:39,0,0
4,32,2025-11-05 00:02:39,2025-11-05 00:02:39,0,0
5,32,2025-11-05 00:02:39,2025-11-05 00:02:39,0,0
1,33,2025-11-05 00:02:40,2025-11-05 00:02:40,0,0
2,33,2025-11-05 00:02:40,2025-11-05 00:02:40,0,0
3,33,2025-11-05 00:02:40,2025-11-05 00:02:40,0,0
4,33,2025-11-05 00:02:40,2025-11-05 00:02:40,0,0
5,33,2025-11-05 00:02:40,2025-11-05 00:02:40,0,0
1,34,2025-11-05 00:02:41,2025-11-05 00:02:41,0,0
2,34,2025-11-05 00:02:41,2025-11-05 00:02:41,0,0
3,34,2025-11-05 00:02:41,2025-11-05 00:02:41,0,0
4,34,2025-11-05 00:02:41,2025-11-05 00:02:41,0,0
5,34,2025-11-05 00:02:41,2025-11-05 00:02:41,0,0
1,35,2025-11-05 00:02:42,2025-11-05 00:02:42,0,0
2,35,2025-11-05 00:02:42,2025-11-05 00:02:42,0,0
