msg_type,device_id,seq,timestamp,arrival_time,value,duplicate_flag,gap_flag,delayed_flag,cpu_time_ms,packet_size
1,1,0,2025-12-11 15:49:13,2025-12-11 15:49:13,-1,0,0,0,0.17240000306628644,15
3,1,1,2025-12-11 15:49:13,2025-12-11 15:49:13,-1,0,0,0,0.059200014220550656,12
4,1,2,2025-12-11 15:49:13,2025-12-11 15:49:13,419,0,0,0,0.02400000812485814,10
5,1,3,2025-12-11 15:49:18,2025-12-11 15:49:18,415,0,0,0,0.040000013541430235,28
5,1,3,2025-12-11 15:49:19,2025-12-11 15:49:18,409,0,0,0,0.37330001941882074,28
5,1,3,2025-12-11 15:49:21,2025-12-11 15:49:18,406,0,0,0,0.5484000139404088,28
5,1,3,2025-12-11 15:49:22,2025-12-11 15:49:18,411,0,0,0,0.9269000147469342,28
5,1,3,2025-12-11 15:49:23,2025-12-11 15:49:18,401,0,0,0,1.3980999938212335,28
6,1,4,2025-12-11 15:49:24,2025-12-11 15:49:24,401,0,0,0,0.02680000034160912,8
5,1,5,2025-12-11 15:49:31,2025-12-11 15:49:25,392,0,0,0,0.047200010158121586,29
5,1,5,2025-12-11 15:49:32,2025-12-11 15:49:25,385,0,0,0,0.607299996772781,29
5,1,5,2025-12-11 15:49:34,2025-12-11 15:49:25,391,0,0,0,0.9388999897055328,29
4,1,5,2025-12-11 15:49:35,2025-12-11 15:49:25,391,0,0,0,1.209900015965104,29
5,1,5,2025-12-11 15:49:37,2025-12-11 15:49:25,382,0,0,0,1.4821999939158559,29
5,1,6,2025-12-11 15:49:44,2025-12-11 15:49:31,388,0,0,0,0.021499989088624716,28
5,1,6,2025-12-11 15:49:45,2025-12-11 15:49:31,393,0,0,0,0.5118999979458749,28
5,1,6,2025-12-11 15:49:47,2025-12-11 15:49:31,402,0,0,0,1.1471000034362078,28
5,1,6,2025-12-11 15:49:48,2025-12-11 15:49:31,392,0,0,0,1.8334999913349748,28
5,1,6,2025-12-11 15:49:49,2025-12-11 15:49:31,399,0,0,0,2.199300011852756,28
5,1,7,2025-12-11 15:49:55,2025-12-11 15:49:36,393,0,0,0,0.023800006601959467,29
5,1,7,2025-12-11 15:49:56,2025-12-11 15:49:36,399,0,0,0,0.9680000075604767,29
4,1,7,2025-12-11 15:49:57,2025-12-11 15:49:36,399,0,0,0,1.3750999933108687,29
5,1,7,2025-12-11 15:49:58,2025-12-11 15:49:36,389,0,0,0,1.7636999837122858,29
5,1,7,2025-12-11 15:49:59,2025-12-11 15:49:36,394,0,0,0,2.2065000084694475,29
6,1,8,2025-12-11 15:49:42,2025-12-11 15:49:42,394,0,0,0,0.029399991035461426,8
5,1,9,2025-12-11 15:50:07,2025-12-11 15:49:43,390,0,0,0,0.03090000245720148,28
5,1,9,2025-12-11 15:50:09,2025-12-11 15:49:43,386,0,0,0,0.728400016669184,28
5,1,9,2025-12-11 15:50:10,2025-12-11 15:49:43,390,0,0,0,1.211199996760115,28
5,1,9,2025-12-11 15:50:11,2025-12-11 15:49:43,382,0,0,0,1.6660999972373247,28
5,1,9,2025-12-11 15:50:13,2025-12-11 15:49:43,375,0,0,0,2.1523000032175332,28
5,1,10,2025-12-11 15:50:19,2025-12-11 15:49:48,366,0,0,0,0.050000002374872565,29
4,1,10,2025-12-11 15:50:20,2025-12-11 15:49:48,366,0,0,0,1.432999997632578,29
5,1,10,2025-12-11 15:50:21,2025-12-11 15:49:48,372,0,0,0,2.351699979044497,29
5,1,10,2025-12-11 15:50:22,2025-12-11 15:49:48,365,0,0,0,3.1824999896343797,29
5,1,10,2025-12-11 15:50:23,2025-12-11 15:49:48,360,0,0,0,4.199699993478134,29
