msg_type,device_id,seq,timestamp,arrival_time,value,duplicate_flag,gap_flag,delayed_flag,cpu_time_ms,packet_size
1,1,0,2025-12-11 18:06:47,2025-12-11 18:06:47,-1,0,0,0,0.17419998766854405,15
3,1,1,2025-12-11 18:06:47,2025-12-11 18:06:47,-1,0,0,0,0.14170000213198364,12
4,1,2,2025-12-11 18:06:47,2025-12-11 18:06:47,419,0,0,0,0.03530000685714185,10
5,1,3,2025-12-11 18:06:53,2025-12-11 18:06:52,419,0,0,0,0.20249999943189323,28
5,1,3,2025-12-11 18:06:55,2025-12-11 18:06:52,416,0,0,0,0.890900002559647,28
5,1,3,2025-12-11 18:06:56,2025-12-11 18:06:52,421,0,0,0,1.3604999985545874,28
5,1,3,2025-12-11 18:06:57,2025-12-11 18:06:52,411,0,0,0,1.934700005222112,28
5,1,5,2025-12-11 18:07:06,2025-12-11 18:06:59,404,0,0,0,0.15740000526420772,29
5,1,5,2025-12-11 18:07:08,2025-12-11 18:06:59,410,0,0,0,1.0087999980896711,29
4,1,5,2025-12-11 18:07:09,2025-12-11 18:06:59,391,0,0,0,1.508099987404421,29
5,1,5,2025-12-11 18:07:11,2025-12-11 18:06:59,382,0,0,0,1.9725000020116568,29
5,1,6,2025-12-11 18:07:19,2025-12-11 18:07:05,387,0,0,0,0.19249998149462044,28
5,1,6,2025-12-11 18:07:21,2025-12-11 18:07:05,396,0,0,0,0.978900003246963,28
5,1,6,2025-12-11 18:07:22,2025-12-11 18:07:05,386,0,0,0,1.4591999934054911,28
5,1,6,2025-12-11 18:07:23,2025-12-11 18:07:05,393,0,0,0,2.143999998224899,28
5,1,7,2025-12-11 18:07:30,2025-12-11 18:07:10,399,0,0,0,0.2401999954599887,29
4,1,7,2025-12-11 18:07:31,2025-12-11 18:07:10,399,0,0,0,1.2946000206284225,29
5,1,7,2025-12-11 18:07:32,2025-12-11 18:07:10,389,0,0,0,2.0904999983031303,29
5,1,7,2025-12-11 18:07:33,2025-12-11 18:07:10,394,0,0,0,2.7882000140380114,29
5,1,9,2025-12-11 18:07:43,2025-12-11 18:07:17,390,0,0,0,0.1700000138953328,28
5,1,9,2025-12-11 18:07:44,2025-12-11 18:07:17,394,0,0,0,1.1993999942205846,28
5,1,9,2025-12-11 18:07:45,2025-12-11 18:07:17,386,0,0,0,2.4295999901369214,28
5,1,9,2025-12-11 18:07:47,2025-12-11 18:07:17,379,0,0,0,3.460600011749193,28
4,1,10,2025-12-11 18:07:54,2025-12-11 18:07:22,366,0,0,0,0.26599998818710446,29
5,1,10,2025-12-11 18:07:55,2025-12-11 18:07:22,372,0,0,0,1.5783999988343567,29
5,1,10,2025-12-11 18:07:56,2025-12-11 18:07:22,365,0,0,0,2.820699999574572,29
5,1,10,2025-12-11 18:07:57,2025-12-11 18:07:22,360,0,0,0,3.7502000050153583,29
5,1,11,2025-12-11 18:08:04,2025-12-11 18:07:27,350,0,0,0,0.15330000314861536,28
5,1,11,2025-12-11 18:08:05,2025-12-11 18:07:27,353,0,0,0,1.0187999869231135,28
5,1,11,2025-12-11 18:08:06,2025-12-11 18:07:27,344,0,0,0,1.6415999853052199,28
5,1,11,2025-12-11 18:08:07,2025-12-11 18:07:27,335,0,0,0,2.423300000373274,28
4,1,12,2025-12-11 18:08:16,2025-12-11 18:07:33,346,0,0,0,0.24190000840462744,29
5,1,12,2025-12-11 18:08:17,2025-12-11 18:07:33,343,0,0,0,1.9619000086095184,29
5,1,12,2025-12-11 18:08:18,2025-12-11 18:07:33,338,0,0,0,3.5331000108271837,29
5,1,12,2025-12-11 18:08:19,2025-12-11 18:07:33,342,0,0,0,4.500700015341863,29
5,1,13,2025-12-11 18:08:29,2025-12-11 18:07:40,337,0,0,0,0.24960000882856548,28
5,1,13,2025-12-11 18:08:30,2025-12-11 18:07:40,344,0,0,0,1.8223999941255897,28
5,1,13,2025-12-11 18:08:32,2025-12-11 18:07:40,352,0,0,0,3.514899988658726,28
5,1,13,2025-12-11 18:08:33,2025-12-11 18:07:40,360,0,0,0,4.595500009600073,28
5,1,14,2025-12-11 18:08:40,2025-12-11 18:07:45,368,0,0,0,0.1115999766625464,29
5,1,14,2025-12-11 18:08:41,2025-12-11 18:07:45,360,0,0,0,0.9947999787982553,29
5,1,14,2025-12-11 18:08:42,2025-12-11 18:07:45,351,0,0,0,1.7093999776989222,29
5,1,14,2025-12-11 18:08:43,2025-12-11 18:07:45,359,0,0,0,2.4209999828599393,29
3,1,15,2025-12-11 18:07:45,2025-12-11 18:07:45,-1,0,0,1,0.07139999070204794,12
5,1,16,2025-12-11 18:07:58,2025-12-11 18:07:53,351,0,0,0,0.2111000067088753,29
5,1,16,2025-12-11 18:07:59,2025-12-11 18:07:53,348,0,0,0,1.70829999842681,29
4,1,16,2025-12-11 18:08:00,2025-12-11 18:07:53,350,0,0,0,2.9135000077076256,29
5,1,16,2025-12-11 18:08:01,2025-12-11 18:07:53,352,0,0,0,4.3286999862175435,29
5,1,17,2025-12-11 18:08:10,2025-12-11 18:07:59,344,0,0,0,0.11860000086016953,28
5,1,17,2025-12-11 18:08:11,2025-12-11 18:07:59,349,0,0,0,1.104700000723824,28
5,1,17,2025-12-11 18:08:12,2025-12-11 18:07:59,339,0,0,0,1.9096999894827604,28
5,1,17,2025-12-11 18:08:13,2025-12-11 18:07:59,334,0,0,0,2.706300001591444,28
5,1,85,2025-12-11 18:08:25,2025-12-11 18:06:48,416,0,1,0,0.2753000007942319,9
5,1,86,2025-12-11 18:08:26,2025-12-11 18:06:49,425,0,0,0,0.054800009820610285,9
