msg_type,device_id,seq,timestamp,arrival_time,value,duplicate_flag,gap_flag,delayed_flag,cpu_time_ms,packet_size
1,1,0,2025-12-11 15:52:47,2025-12-11 15:52:47,-1,0,0,0,0.1619999820832163,15
3,1,1,2025-12-11 15:52:47,2025-12-11 15:52:47,-1,0,0,0,0.08769999840296805,12
4,1,2,2025-12-11 15:52:47,2025-12-11 15:52:47,419,0,0,0,0.04429998807609081,10
5,1,3,2025-12-11 15:52:52,2025-12-11 15:52:52,415,0,0,0,0.089899986051023,28
5,1,3,2025-12-11 15:52:53,2025-12-11 15:52:52,409,0,0,0,0.7258999976329505,28
5,1,3,2025-12-11 15:52:55,2025-12-11 15:52:52,406,0,0,0,1.0202999983448535,28
5,1,3,2025-12-11 15:52:56,2025-12-11 15:52:52,411,0,0,0,1.4841000083833933,28
5,1,3,2025-12-11 15:52:57,2025-12-11 15:52:52,401,0,0,0,2.5390000082552433,28
6,1,4,2025-12-11 15:52:58,2025-12-11 15:52:58,401,0,0,0,0.06089999806135893,8
5,1,5,2025-12-11 15:53:05,2025-12-11 15:52:59,392,0,0,0,0.04220000118948519,29
5,1,5,2025-12-11 15:53:06,2025-12-11 15:52:59,385,0,0,0,0.8542000141460449,29
5,1,5,2025-12-11 15:53:08,2025-12-11 15:52:59,391,0,0,0,1.7136000096797943,29
4,1,5,2025-12-11 15:53:09,2025-12-11 15:52:59,391,0,0,0,2.219200017862022,29
5,1,5,2025-12-11 15:53:11,2025-12-11 15:52:59,382,0,0,0,2.637700003106147,29
5,1,6,2025-12-11 15:53:18,2025-12-11 15:53:05,388,0,0,0,0.0515999854542315,28
5,1,6,2025-12-11 15:53:19,2025-12-11 15:53:05,393,0,0,0,1.2086000060662627,28
5,1,6,2025-12-11 15:53:21,2025-12-11 15:53:05,402,0,0,0,2.0194000098854303,28
5,1,6,2025-12-11 15:53:22,2025-12-11 15:53:05,392,0,0,0,3.1270000035874546,28
5,1,6,2025-12-11 15:53:23,2025-12-11 15:53:05,399,0,0,0,3.8961000100243837,28
5,1,7,2025-12-11 15:53:29,2025-12-11 15:53:10,393,0,0,0,0.04270000499673188,29
5,1,7,2025-12-11 15:53:30,2025-12-11 15:53:10,399,0,0,0,0.9240999934263527,29
4,1,7,2025-12-11 15:53:31,2025-12-11 15:53:10,399,0,0,0,1.648000004934147,29
5,1,7,2025-12-11 15:53:32,2025-12-11 15:53:10,389,0,0,0,2.5566999975126237,29
5,1,7,2025-12-11 15:53:33,2025-12-11 15:53:10,394,0,0,0,3.204999986337498,29
6,1,8,2025-12-11 15:53:16,2025-12-11 15:53:16,394,0,0,0,0.04539999645203352,8
5,1,9,2025-12-11 15:53:41,2025-12-11 15:53:17,390,0,0,0,0.04119999357499182,28
5,1,9,2025-12-11 15:53:43,2025-12-11 15:53:17,386,0,0,0,1.0332999809179455,28
5,1,9,2025-12-11 15:53:44,2025-12-11 15:53:17,390,0,0,0,1.954499981366098,28
5,1,9,2025-12-11 15:53:45,2025-12-11 15:53:17,382,0,0,0,2.7148999797645956,28
5,1,9,2025-12-11 15:53:47,2025-12-11 15:53:17,375,0,0,0,3.4075999865308404,28
5,1,10,2025-12-11 15:53:53,2025-12-11 15:53:22,366,0,0,0,0.028400012524798512,29
4,1,10,2025-12-11 15:53:54,2025-12-11 15:53:22,366,0,0,0,0.7840000034775585,29
5,1,10,2025-12-11 15:53:55,2025-12-11 15:53:22,372,0,0,0,1.3330000219866633,29
5,1,10,2025-12-11 15:53:56,2025-12-11 15:53:22,365,0,0,0,1.8696000042837113,29
5,1,10,2025-12-11 15:53:57,2025-12-11 15:53:22,360,0,0,0,2.3944000131450593,29
5,1,11,2025-12-11 15:54:03,2025-12-11 15:53:27,364,0,0,0,0.05530001362785697,28
5,1,11,2025-12-11 15:54:04,2025-12-11 15:53:27,354,0,0,0,1.9058000179938972,28
5,1,11,2025-12-11 15:54:05,2025-12-11 15:53:27,357,0,0,0,3.3887000172398984,28
5,1,11,2025-12-11 15:54:06,2025-12-11 15:53:27,348,0,0,0,4.4556000211741775,28
5,1,11,2025-12-11 15:54:07,2025-12-11 15:53:27,339,0,0,0,5.4250000102911144,28
